KE 2852,PEK,GMP,11:50,15:05, 2:15,Daily,0
KE 8866,CAN,ICN,01:15,05:40, 3:25,"Tue,Sat",0
KE 2815,GMP,SHA,16:15,17:15, 2:00,Daily,0
KE 2816,SHA,GMP,18:15,21:15, 2:00,Daily,0
KE 601,ICN,HKG,13:40,16:30, 3:50,"Wed,Fri,Sat",0
KE 602,HKG,ICN,17:55,22:35, 3:40,"Wed,Fri,Sat",0
KE 603,ICN,HKG,08:10,10:55, 3:45,"Thu,Sat,Sun",0
KE 604,HKG,ICN,12:05,16:45, 3:40,"Thu,Sat,Sun",0
KE 607,ICN,HKG,19:45,22:30, 3:45,Daily,0
KE 608,HKG,ICN,00:45,05:25, 3:40,Daily,0
KE 613,ICN,HKG,10:05,12:45, 3:40,Daily,0
KE 614,HKG,ICN,14:05,18:45, 3:40,Daily,0
KE 615,PUS,HKG,22:05,00:30, 3:25,Daily,1
KE 616,HKG,PUS,01:55,06:20, 3:25,Daily,0
KE 621,ICN,MNL,08:00,10:50, 3:50,Daily,0
KE 622,MNL,ICN,12:20,17:15, 3:55,Daily,0
KE 623,ICN,MNL,20:05,23:00, 3:55,Daily,0
KE 624,MNL,ICN,00:30,05:20, 3:50,Daily,0
KE 625,ICN,CGK,19:25,00:35, 7:10,"Wed,Sat,Sun",1
KE 627,ICN,CGK,15:20,20:10, 6:50,Daily,0
KE 628,CGK,ICN,22:05,07:05, 7:00,Daily,1
KE 629,ICN,DPS,18:05,00:10, 7:05,Daily,1
KE 630,DPS,ICN,01:25,09:25, 7:00,Daily,0
KE 631,ICN,CEB,20:35,23:55, 4:20,Daily,0
KE 632,CEB,ICN,01:35,07:00, 4:25,Daily,0
KE 637,ICN,HKT,19:00,23:15, 6:15,Daily,0
KE 638,HKT,ICN,00:45,08:50, 6:05,Daily,0
KE 641,ICN,SIN,18:40,23:50, 6:10,Daily,0
KE 642,SIN,ICN,01:10,08:25, 6:15,Daily,0
KE 643,ICN,SIN,14:20,19:30, 6:10,Daily,0
KE 644,SIN,ICN,22:35,05:55, 6:20,Daily,1
KE 647,ICN,SIN,23:30,05:00, 6:30,"Wed,Thu,Sat,Sun",1
KE 651,ICN,BKK,17:40,21:10, 5:30,Daily,0
KE 652,BKK,ICN,22:40,06:10, 5:30,Daily,1
KE 656,BOM,ICN,02:45,13:55, 7:40,"Tue,Thu,Sat",0
KE 657,ICN,BKK,09:05,12:35, 5:30,"Tue,Thu,Sat",0
KE 658,BKK,ICN,00:10,07:40, 5:30,Daily,0
KE 659,ICN,BKK,19:15,23:25, 6:10,Daily,0
KE 660,BKK,ICN,10:00,17:35, 5:35,Daily,0
KE 661,PUS,BKK,20:50,00:15, 5:25,Daily,1
KE 662,BKK,PUS,01:45,09:00, 5:15,Daily,0
KE 667,ICN,CNX,19:10,22:50, 5:40,"Wed,Thu,Sat,Sun",0
KE 668,CNX,ICN,23:59,07:15, 5:16,"Wed,Thu,Sat,Sun",1
KE 671,ICN,KUL,16:35,21:55, 6:20,Daily,0
KE 672,KUL,ICN,23:15,06:40, 6:25,Daily,1
KE 679,ICN,HAN,18:45,21:30, 4:45,Daily,0
KE 680,HAN,ICN,22:50,05:05, 4:15,Daily,1
KE 681,ICN,SGN,08:00,11:20, 5:20,Daily,0
KE 682,SGN,ICN,12:20,19:45, 5:25,Daily,0
KE 683,ICN,SGN,19:00,22:10, 5:10,Daily,0
KE 684,SGN,ICN,23:40,06:45, 5:05,Daily,1
KE 687,ICN,REP,19:00,22:25, 5:25,"Wed,Thu,Sat,Sun",0
KE 688,REP,ICN,23:25,06:35, 5:10,"Wed,Thu,Sat,Sun",1
KE 689,ICN,PNH,18:45,22:10, 5:25,Daily,0
KE 690,PNH,ICN,23:20,06:30, 5:10,Daily,1
KE 691,ICN,TPE,10:35,12:05, 2:30,Daily,0
KE 692,TPE,ICN,13:25,17:00, 2:35,Daily,0
KE 693,ICN,TPE,16:30,18:00, 2:30,Daily,0
KE 694,TPE,ICN,19:10,22:50, 2:40,Daily,0
KE 463,ICN,DAD,18:40,21:20, 4:40,Daily,0
KE 464,DAD,ICN,22:50,05:20, 4:30,Daily,1
KE 479,ICN,HAN,08:30,11:10, 4:40,Daily,0
KE 480,HAN,ICN,12:20,18:45, 4:25,Daily,0
KE 467,ICN,CXR,20:30,23:40, 5:10,"Wed,Sat",0
KE 473,ICN,CMB,23:45,04:30, 8:15,"Mon,Wed,Sat",1
KE 473,ICN,MLE,23:45,07:00, 9:45,"Mon,Wed,Sat",1
KE 471,ICN,RGN,18:45,22:25, 6:10,Daily,0
KE 472,RGN,ICN,23:30,07:50, 5:50,Daily,1
KE 35,ICN,ATL,09:20,10:00,13:40,"Tue,Thu,Sat",0
KE 36,ATL,ICN,12:20,16:20,15:00,"Tue,Thu,Sat",1
KE 37,ICN,ORD,10:40,09:25,12:45,Daily,0
KE 38,ORD,ICN,12:35,16:25,13:50,Daily,1
KE 31,ICN,DFW,10:00,09:00,13:00,"Tue-Thu,Sat,Sun",0
KE 32,DFW,ICN,12:10,17:00,14:50,"Tue-Thu,Sat,Sun",1
KE 53,ICN,HNL,21:00,10:30, 8:30,Daily,0
KE 54,HNL,ICN,12:50,17:30, 9:40,Daily,1
KE 29,ICN,IAH,09:20,08:25,13:05,"Sat,Sun",0
KE 30,IAH,ICN,10:40,15:50,15:10,"Sat,Sun",1
KE 11,ICN,LAX,20:00,15:10,11:10,Daily,0
KE 12,LAX,ICN,23:30,04:40,13:10,Daily,2
KE 17,ICN,LAX,15:00,10:10,11:10,Daily,0
KE 18,LAX,ICN,12:40,17:50,13:10,Daily,1
KE 62,GRU,ICN,13:45,05:55,26:40,"Tue,Thu,Sat",2
KE 62,GRU,LAX,13:45,21:25,12:40,"Tue,Thu,Sat",0
KE 62,LAX,ICN,23:55,05:55,14:00,"Tue,Thu,Sat",2
KE 81,ICN,JFK,10:05,11:05,14:00,Daily,0
KE 82,JFK,ICN,14:00,17:20,14:20,Daily,1
KE 85,ICN,JFK,19:30,20:45,14:15,Daily,0
KE 86,JFK,ICN,00:50,04:10,14:20,Daily,1
KE 23,ICN,SFO,17:30,12:00,10:30,Daily,0
KE 24,SFO,ICN,13:40,18:15,12:35,Daily,1
KE 19,ICN,SEA,18:20,12:20,10:00,"Tue,Wed,Fri-Sun",0
KE 20,SEA,ICN,14:15,17:55,11:40,"Tue,Wed,Fri-Sun",1
KE 71,ICN,YVR,18:50,12:35, 9:45,Daily,0
KE 72,YVR,ICN,14:20,17:50,11:30,Daily,1
KE 73,ICN,YYZ,10:15,10:20,13:05,"Tue,Wed,Fri-Sun",0
KE 74,YYZ,ICN,12:20,15:10,13:50,"Tue,Wed,Fri-Sun",1
KE 93,ICN,IAD,10:30,11:15,13:45,Daily,0
KE 94,IAD,ICN,13:35,17:10,14:35,Daily,1
KE 905,ICN,FRA,12:45,17:40,11:55,Daily,0
KE 906,FRA,ICN,19:40,13:05,10:25,Daily,1
KE 955,ICN,IST,14:05,19:40,11:35,"Mon,Wed,Fri-Sun",0
KE 956,IST,ICN,21:20,13:20,10:00,"Mon,Wed,Fri-Sun",1
KE 907,ICN,LHR,13:00,17:25,12:25,Daily,0
KE 908,LHR,ICN,19:35,14:25,10:50,Daily,1
KE 913,ICN,MAD,12:40,18:45,13:05,"Tue,Thu,Sat",0
KE 914,MAD,ICN,20:50,15:50,12:00,"Tue,Thu,Sat",1
KE 901,ICN,CDG,13:05,18:20,12:15,Daily,0
KE 902,CDG,ICN,21:00,15:00,11:00,Daily,1
KE 935,ICN,PRG,12:45,16:50,11:05,"Mon,Wed,Fri,Sat",0
KE 936,PRG,ICN,18:30,11:20, 9:50,"Mon,Wed,Fri,Sat",1
KE 931,ICN,FCO,13:50,19:50,13:00,"Tue,Thu,Sat",0
KE 932,FCO,ICN,21:45,15:55,11:10,"Tue,Thu,Sat",1
KE 917,ICN,ZRH,14:35,20:00,12:25,"Tue,Thu,Sat",0
KE 918,ZRH,ICN,21:35,15:25,10:50,"Tue,Thu,Sat",1
KE 923,ICN,SVO,13:05,16:50, 9:45,"Mon,Wed,Fri-Sun",0
KE 924,SVO,ICN,18:55,09:30, 8:35,"Mon,Wed,Fri-Sun",1
KE 867,ICN,ULN,19:55,22:30, 3:35,"Mon,Wed-Sun",0
KE 868,ULN,ICN,23:55,03:55, 3:00,"Mon,Wed-Sun",1
KE 981,ICN,VVO,10:10,13:50, 2:40,Daily,0
KE 982,VVO,ICN,14:50,16:30, 2:40,Daily,0
KE 951,ICN,DXB,13:10,18:30,10:20,Daily,0
KE 952,DXB,ICN,22:55,12:20, 8:25,"Mon-Thu,Sat,Sun",1
KE 962,JED,ICN,11:55,06:25,11:10,"Tue,Thu,Sat",1
KE 962,RUH,ICN,15:00,06:25, 9:25,"Tue,Thu,Sat",1
KE 957,ICN,TLV,15:00,21:00,12:00,"Tue,Thu,Sat",0
KE 958,TLV,ICN,23:00,15:00,10:00,"Tue,Thu,Sat",1
KE 129,ICN,AKL,16:50,08:10,11:20,"Mon,Wed,Fri,Sat",1
KE 130,AKL,ICN,09:45,17:45,12:00,"Tue,Thu,Sat,Sun",0
KE 123,ICN,BNE,20:05,06:50, 9:45,"Mon,Wed,Fri,Sat",1
KE 124,BNE,ICN,08:25,17:35,10:10,"Tue,Thu,Sat,Sun",0
KE 111,ICN,GUM,19:30,01:00, 4:30,Daily,1
KE 112,GUM,ICN,02:30,06:10, 4:40,Daily,0
KE 2115,PUS,GUM,21:40,02:45, 4:05,"Wed,Thu,Sat,Sun",1
KE 121,ICN,SYD,18:45,07:15,10:30,Daily,1
KE 122,SYD,ICN,08:45,17:45,11:00,Daily,0
